Crossjoin with multiple measures and totals/Crossjoin with multiple measures

- FILTERS -
Discount Type,1-19%+ 20-49%
YearSold,2024:2026

,,Count,Revenue,Units Sold
2024,Candy,9,28.65,28
2024,Cereal,1,3.56,1
2024,Dairy,4,20.24,4
2024,Fruit,15,141.9,22
2024,Pasta,17,92.96,29
2024,Seafood,4,123.95,6
2024,Snack,26,191.97,35
2024,Vegetable,10,54.75,11
2025,Candy,10,15.91,16
2025,Cereal,2,7.12,2
2025,Fruit,11,163.48,26
2025,Pasta,22,65.08,29
2025,Seafood,2,41.32,2
2025,Snack,16,279.47,32
2025,Vegetable,13,80.36,16
2026,Candy,6,6.24,6
2026,Cereal,1,3.56,1
2026,Dairy,1,4.76,1
2026,Fruit,9,76.95,11
2026,Pasta,11,34.18,18
2026,Seafood,2,39.02,2
2026,Snack,22,198.5,42
2026,Vegetable,5,47.93,11
